Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,Furnishing_Fully Furnished,Furnishing_Semi Furnished,Furnishing_Unfurnished
15999,22,1,1,1,1,0,1,4.3,66.5,1,1,1,1,1,0,0,1
16000,21,0,1,1,1,0,0,4.2,301,0,1,0,0,1,0,0,1
16000,29,0,1,1,1,0,0,4.6,16,0,1,0,0,1,0,0,1
16000,28,0,1,1,1,0,0,5,6,1,0,1,0,1,0,0,1
16000,20,0,1,1,1,0,0,4,23,0,0,1,0,0,0,0,1
16000,23,1,1,1,1,0,0,4,23,1,1,0,1,1,0,0,1
16000,23,1,1,1,1,0,1,3.7,187,1,1,1,1,0,0,0,1
16000,27,1,1,1,1,0,1,4.2,185,1,1,0,1,1,0,0,1
16000,27,1,1,1,1,0,0,4.3,192,0,0,0,0,1,0,0,1
16000,24,0,1,1,1,0,1,4.2,1574,0,0,1,1,0,0,0,1
16000,22,0,1,1,1,0,1,4.3,66.5,0,0,0,0,1,0,0,1
16000,28,0,1,1,1,0,0,4.3,66.5,1,1,0,1,0,0,0,1
16000,27,1,1,1,1,0,1,4,23,1,1,0,1,1,0,0,1
16000,30,1,1,1,1,0,1,4.4,120,0,0,1,0,1,0,0,1
16000,24,1,1,1,1,0,0,4,3,1,0,1,1,1,0,0,1
16000,28,1,1,1,1,0,0,4.1,140,0,1,0,0,0,0,0,1
16000,23,0,1,1,1,0,0,4.2,5,1,1,1,1,0,0,0,1
16000,21,1,1,1,1,0,1,4,136,1,1,0,0,0,0,0,1
16000,27,0,1,1,1,0,1,4.3,396,1,1,0,1,1,0,0,1
16000,24,1,1,1,1,0,1,3.9,87,1,0,0,0,1,0,0,1
16000,30,0,1,1,1,0,1,4.2,301,1,1,0,0,1,0,0,1
16000,21,0,1,1,1,0,0,4.3,66.5,0,0,1,1,0,0,0,1
16000,27,0,1,1,1,0,1,4.3,66.5,0,1,1,1,1,0,0,1
16000,27,0,1,1,1,0,1,4,23,1,0,1,1,0,0,0,1
16000,24,1,1,1,1,0,0,4.4,4116,1,1,0,1,0,0,0,1
16000,28,0,1,1,1,0,0,4.3,396,0,1,0,1,1,0,0,1
16000,30,0,1,1,1,0,1,4.3,66.5,1,1,0,1,0,0,0,1
16000,23,0,1,1,1,0,1,4.3,396,0,1,1,1,0,0,0,1
16000,29,1,1,1,1,0,1,4,23,1,1,1,0,0,0,0,1
16000,28,1,1,1,1,0,0,4.2,1574,0,0,1,0,0,0,0,1
16000,23,0,1,1,1,0,1,4.3,66.5,1,1,0,0,1,0,0,1
16000,29,1,1,1,1,0,1,4.5,36355,0,1,1,0,0,0,0,1
16000,27,1,1,1,1,0,0,4,44,1,0,0,1,1,0,0,1
16000,30,0,1,1,1,0,1,4.3,66.5,0,0,0,1,0,0,0,1
16000,20,0,1,1,1,0,0,4.2,60,1,0,0,1,0,0,0,1
16000,20,1,1,1,1,0,0,4.4,63,0,1,0,1,0,0,0,1
16000,23,0,1,1,1,0,1,3.7,124,0,0,1,1,1,0,0,1
16000,20,1,1,1,1,0,1,4,3,0,0,1,1,0,0,0,1
16000,22,0,1,1,1,0,1,3.7,365,1,1,0,0,0,0,0,1
16000,28,0,1,1,1,0,0,4,3,1,1,0,0,0,0,0,1
